Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas35               Pavarde35                      7         6        10         8         1         3         8         4         4         4         8         7         3         9         7         1
Vardas36               Pavarde36                      8         8         5         9         9        10         4         8         1         8        10         9         9         6         5        10
Vardas37               Pavarde37                      9         4         9         9         9         5        10         3         6         1         9         2         7         2         5         2
Vardas38               Pavarde38                      1         9         5         3         4         3         7         3         5         8         2         4         2         6         3         5
Vardas39               Pavarde39                      3         7         3         3        10         9         3        10         5         7        10         1         5         3         5         1
Vardas40               Pavarde40                      8         1         2         4         5         2         2         9         6         1         4         1         4         5         4         1
Vardas41               Pavarde41                      9         2         5         8         5         6         9        10         2         4         2         9         6         4         9         7
Vardas42               Pavarde42                      7         9        10         2         9         7         9         6         5         7         4         3         5         4         2         3
Vardas43               Pavarde43                     10         4         3        10         4         2         9         4         7         4        10         6         7         8         2         4
Vardas44               Pavarde44                      8         6         5         3         8         9         5         4         9        10         8        10         6         4        10         6
Vardas45               Pavarde45                      4         2         6         3        10         4         6         4         2         9         1         9         6         4         7         8
Vardas46               Pavarde46                      4         4         7         7         8         7         6         9         1         5         7        10         4         3        10        10
Vardas47               Pavarde47                     10        10         9         1         1         5         5         8         1         5         5         8         3         7        10         7
Vardas48               Pavarde48                      6         2         1         4         6         3         9         4         5         7        10         6         1         6         1         1
Vardas49               Pavarde49                      3         5         9         2         4         6         4         3         1         4         3         4         5         3         1         1
Vardas50               Pavarde50                      1         3         4         9         2         5        10         4        10         6         7         1         9         4         2         5
Vardas51               Pavarde51                      7         1         2         7        10         3         1         8         6         7         6         7         7         5         8         8
Vardas52               Pavarde52                      7         1        10         5         2         4         9         3         7         9         1         8        10         1         7         6
Vardas53               Pavarde53                     10         5         3        10         3         7         6         8         2         9         5         7         1         4         8         1
Vardas54               Pavarde54                      9         5         3        10         2         1         5         7         4         7         5         5         7         4         1         6
Vardas55               Pavarde55                      4        10         4         6         4         4        10         5         2         8         1         1         2         7         9         9
Vardas56               Pavarde56                      6         8         7         1         7         7         3         9         2         7         5         2         6         2         4         5
Vardas57               Pavarde57                      1         2         9         7         2         1         5         6         7         7         6         7         6         5         3         5
Vardas58               Pavarde58                      8         4        10        10         6         9         5         7         2        10         9         7         3        10         4         4
Vardas59               Pavarde59                      9         9         2         9         4         1         5         1         7         5         2         8         3         1         5         5
Vardas60               Pavarde60                      4         4         8         5         8         6        10         2         5         2         6         8         8        10         2         6
Vardas61               Pavarde61                     10         1         4         6         4         1        10         3         5         6         3         4         5         4         5         8
Vardas62               Pavarde62                     10         6         2         8         4         8         3         6         3         1         3        10         8         3         6        10
Vardas63               Pavarde63                      9         7         7         2         5         7         5         4         5         6         3         5         6         1        10         7
Vardas64               Pavarde64                      8         5         7         4         9         1         9         5         8         8         4        10         9         6         6         7
Vardas65               Pavarde65                      2         4         8         5         2         5         2         7         7         6         5         5         1         1         8         3
Vardas66               Pavarde66                      3         5        10         6         4        10        10         4         5         4         6         3         7         8         4         6
Vardas67               Pavarde67                      5         1         9         1        10         7         7         1         3         8        10         4         8         4        10        10
Vardas68               Pavarde68                      8        10         4        10         2         8         7         5         4         9         8         9        10         5         3         2
Vardas69               Pavarde69                      7         3         7        10         4        10         8         3         9         9         4        10         8         1         8         9
Vardas70               Pavarde70                      7         7         8         6         9         8         7         4        10         3         7         3         1         7         4         1
Vardas71               Pavarde71                      1        10         6         1         5         3         6         9         1         9         9         5         4         7         6         9
Vardas72               Pavarde72                     10         7         4         7         3         9        10         1         9         6         8         9         1         5         9         4
Vardas73               Pavarde73                      9         6         3         6         5         2         8         2         7         3         5         4         2         1         9        10
Vardas74               Pavarde74                      6         9         6         1         9         5         8         3         2         3         6         9         1         5         2         2
Vardas75               Pavarde75                     10         9         1         8         9         2         9         3         2         7         5         6        10         5         8         7
Vardas76               Pavarde76                      9         3         5         7         3         6         9         2         7         4        10         1         6         1         5         7
Vardas77               Pavarde77                      5         4         7         6         6         7         4         7         7         2         1        10        10         2         8         3
Vardas78               Pavarde78                      5         4         8         7         1         5         6         4         9        10         1         5        10         1        10        10
Vardas79               Pavarde79                      1         4         2         1         3         2         3         2         2         3         1         9        10         2         9         6
Vardas80               Pavarde80                      6         5         9         2         6         6         4         9         4         5         8         7         4        10         2         8
Vardas81               Pavarde81                      9         5         9         7         3         7         7        10         7         7         3         5         5         4         5         2
Vardas82               Pavarde82                      2         2         8         3         7        10         3         7         6         4         7         8         1         1         3         2
Vardas83               Pavarde83                      2        10        10         9         1         9         2         9         9         6         4         7         2         9         7         3
Vardas84               Pavarde84                      5         8         5         1         7         5         2         5         4         1         3         4         5         5         3         5
Vardas85               Pavarde85                      7         5         7         5         9         4         3         5         3         9         3         7         4         7         3         4
Vardas86               Pavarde86                      9         7        10         9         8         3        10         6         9         4         3        10         8         4         9         4
Vardas87               Pavarde87                      4         1         4         1         5         1        10         5         3         3         8         5         1         7        10         9
Vardas88               Pavarde88                      8         9         4         2         3         4         5         6        10         9         5         8         4         8         6         7
Vardas89               Pavarde89                      1         3         3         4         4         5         1         5         5         6         5         6         2         5         7         7
Vardas90               Pavarde90                      7         2         7         3         3         3         8         9         6         5         8         8         3         7         8         9
Vardas91               Pavarde91                      2         7         3         1         9         3        10         3        10         3        10         9         2         2         6         8
Vardas92               Pavarde92                      3         7         1         4         8         2         7         1        10        10         8         9        10         8         2         8
Vardas93               Pavarde93                      3         8         2         5         4         7         5         7         6         6        10         7         8        10         5         5
Vardas94               Pavarde94                      1         1         1         5         5         8         4         2        10         5         9         9         1         8         6         9
Vardas95               Pavarde95                      5         1         9        10         3         4        10         8         9         6         1         3         6         5         5         5
Vardas96               Pavarde96                      4         3         3         9         6         5         6         6         2        10         5         7         4         4         2         4
Vardas97               Pavarde97                     10         2         5         7         8         1        10        10         4         2         4         6        10         8         9        10
Vardas98               Pavarde98                      1         2         9        10         6         8        10         4         2         8         6         5         9         2         4         5
Vardas99               Pavarde99                      6         3         4         3         2         9        10         9        10         9         6         3         4         8         1         6
Vardas100             Pavarde100                      3         7         3        10         2         1         9         3         4         8         8         1         7         2         3         8
Vardas101             Pavarde101                      4         7         8        10         4         7         7        10         9         4         1         9         4         1         2         3
Vardas102             Pavarde102                      8         3         6        10         7         9        10         4        10         8         9         9         8         4         4         4
Vardas103             Pavarde103                      4         1         6         7         5        10        10         4        10         7         4         8         9         1         2         6
Vardas104             Pavarde104                      9         1         3         6         7         6         7         2         6         8         6         4         7         2         9        10
Vardas105             Pavarde105                      1        10         9         1         3         1         9         5         7         6         3         3         3         4         6         4
Vardas106             Pavarde106                      1         1         6         5         3         5         6         9         6         3         6         3         3         4         5         7
Vardas107             Pavarde107                      3         3        10         6         1        10         3         9         9         9         8         1         7         4         9         2
Vardas108             Pavarde108                      1         3         1         8         8         8         1         4         9         2         8         5        10         9        10         5
Vardas109             Pavarde109                      5         4         2         3         7         4         9         6         3         3         1         6         2         8         3         7
Vardas110             Pavarde110                      1         2         5         3         6         2         8         9         5         3         7         2         2         3         2         9
Vardas111             Pavarde111                      3         3         2         3         5         2         5         1         7         5         6         9         5         2         7         1
Vardas112             Pavarde112                      7         8         5         5        10         7         3        10         1         5         9         5         9         7         7         9
Vardas113             Pavarde113                      2         5         4         7         6         3         1         8         5         9         4         4         7         7         9        10
Vardas114             Pavarde114                      3         5         1         7         9         3        10         6         8         3         2         6         9         8         7         4
Vardas115             Pavarde115                      9         6         3         2         8         8         8         2        10         5        10         8         9         4         8         7
Vardas116             Pavarde116                      4         8         3         6         1         1         4         8         5         7         9         1         9         4         5        10
Vardas117             Pavarde117                      6         6         4         1         5         5         5        10        10         9         5        10        10         7         8         5
Vardas118             Pavarde118                      9         1        10         1         7         8         9         7         8        10         9         1         5         1        10         8
Vardas119             Pavarde119                      8         4         4         5         7         8         6         9         9         4         9         9         3        10         7         2
Vardas120             Pavarde120                      2         6         2        10         1         2         2         5         1         7         8         7         6         4         6         7
Vardas121             Pavarde121                      2         9         1        10         4        10         8         7         8         7         1         9         8         6         3         1
Vardas122             Pavarde122                      3         1         6         3         5        10         9         6         4         9         1        10         6         7         5         9
Vardas123             Pavarde123                      9         7         1         7         7         2         6         6        10         3         6         6         4         3         4         2
Vardas124             Pavarde124                      7         2         3         5         7         7         8         2         3         4         6         1         1         8         4         7
Vardas125             Pavarde125                      8        10         6         9         4         2         4         4         3         5         6         6         4         8         7         3
Vardas126             Pavarde126                      1         7         5         3         1         9         3         9         4         9         1         1         5        10         1         3
Vardas127             Pavarde127                      2         7         4        10         1         3         1         7         7         4         1         3        10         3         6         8
Vardas128             Pavarde128                      2        10         7         2         6         6         4         8         2         6         4         5         5         4         3         9
Vardas129             Pavarde129                      5         7         3         6         3         4        10         6         2         7         7         5         1         3         1         4
Vardas130             Pavarde130                      8         1         2        10         5         6         4         5         5         3         7         4         3         8         1         8
Vardas131             Pavarde131                     10         4        10         7         5         5        10         7         9         6         6         7         9         8         2         1
Vardas132             Pavarde132                      6         5         5         9         3         9         4         3         1         2         6         2         3         2         4         1
Vardas133             Pavarde133                      3         9         3         2         1         4         8         3         5        10         6         2         4         2         9         8
Vardas134             Pavarde134                      7         2         7         7        10         4         8         8        10         6         8         4         3         5         3         2
Vardas135             Pavarde135                      3         6         5         6         9         6         5         3         9         1         8         9         9         9         6         9
Vardas136             Pavarde136                     10         1        10         8         4         2         8         6         8         1         5         7         6         5         3         8
Vardas137             Pavarde137                     10         1         8        10         9         5         1         6         3         9         4         4         4         5        10         7
Vardas138             Pavarde138                      9         3         4         5        10         1         5         7         1         5         1         3         8         1         4         3
Vardas139             Pavarde139                      1         9         4         9         3         6         5        10         4         4         7         5         3         7         4         3
Vardas140             Pavarde140                      2         2         7         3         1         5         7         8         9         9         4        10         7         4         2         1
Vardas141             Pavarde141                      1        10         4         8         6         4         9         4         3         6         3         8         4         1         3         2
Vardas142             Pavarde142                     10         7         4         9         1         3        10         7        10         2         6         9         5         3         1         1
Vardas143             Pavarde143                      8         9         3         4         7         2         4         6         8         2         3         7        10         6         1         9
Vardas144             Pavarde144                      3         6         6         9         8         1         8        10         7         4         8         4         2         3         7         2
Vardas145             Pavarde145                      2         8         1         9         2        10         9         8        10         5         7         2         5         9         7         5
Vardas146             Pavarde146                      9         1         1         3         4        10         1         3         2        10         6         4         3         6         8         6
Vardas147             Pavarde147                      2         4         7        10         3         8         5         1         4         2         3         3         5        10        10         1
Vardas148             Pavarde148                      9         8         4         2         5        10         6         4         7         1         1         4         9         9         3         6
Vardas149             Pavarde149                      4         3         7         2         8         6         3         4         1         3         5         3         6         9         4         4
Vardas150             Pavarde150                     10         9         1         2         3         3        10         3         2         9         7         7         7         8         6         1
Vardas151             Pavarde151                      7         4         9         2         6         4         2         2         5        10        10         2         7         7         5         2
Vardas152             Pavarde152                      7         9         2         9         5         8        10         6         7         9         8         3         2         8        10         2
Vardas153             Pavarde153                     10         8         4         3         8         8         9         5         9        10         1         5         3         6         2         7
Vardas154             Pavarde154                      4         3         4         1         1         9        10         8         4         6         4        10         7        10         6         1
Vardas155             Pavarde155                      2         7         6         2        10         4         6         1         7        10         1         2         3         2         5         1
Vardas156             Pavarde156                      2         3         6         6         5         2        10         8         9         8         8         3         9         9        10         4
Vardas157             Pavarde157                      1         5         8         2         3         8         2         2         1         7         1         7         6         6         3         9
Vardas158             Pavarde158                      5         6         2         7         7         4         6        10         5         2         6         1         2        10         7        10
Vardas159             Pavarde159                      5         4         6         9         2         7        10         5         9         9         4         2         8         1         1         7
Vardas160             Pavarde160                      2         7         8         1         2         7         3         8         9         6         4         3         2         5         6         2
Vardas161             Pavarde161                      1         8         2         8         7         5         9         6        10         6         5         4         7         7         2         4
Vardas162             Pavarde162                      6         9         4         8         6         4        10        10         9         4         5         8         6         1         9         4
Vardas163             Pavarde163                      8         9         1         2         9         9         7        10         7         2         2        10         3         9         9         9
Vardas164             Pavarde164                      8         2         7        10        10         2         3         1         7         1         1         4         1         7         2        10
Vardas165             Pavarde165                      2         7         7         1         6         8         6        10        10         8         7         7        10        10         4         3
Vardas166             Pavarde166                      6        10         8        10         1         6        10         9         1         9         5         3         9         6         5         5
Vardas167             Pavarde167                     10         8         7         6         9         6         9         4         4         3         6         3         3         8        10         5
Vardas168             Pavarde168                      5         6         3         7         5         7        10         8         6         7         2         8         3         4         3         1
Vardas169             Pavarde169                      9         7         9        10         5         7         8         4         7         3         1         3        10         4         4        10
Vardas170             Pavarde170                      1         6         8         2        10         4         4         2         3         4         5         8         3        10         2         8
Vardas171             Pavarde171                     10         6         2         3         5        10         7         6         6         3         5         2         6         6         2         4
Vardas172             Pavarde172                      1         3        10         9         8         2         5         9         9         8        10         6         6         4         3         1
Vardas173             Pavarde173                      2         6         3         1         1         2         9         2         3         8         5         6         8         1         2         9
Vardas174             Pavarde174                      3         6         9         5        10         9         2         3         8        10         5         1         2         1         3         5
Vardas175             Pavarde175                      9         5         2         2         6         6         6         1         1         9         9         8         4         9         9         7
Vardas176             Pavarde176                      9         1         4         6         4         1         5         5         7         9         8         3         5         8         3         6
Vardas177             Pavarde177                      5         1         4         2         7         6         7        10         4         6         4         2         1         9         1         9
Vardas178             Pavarde178                      3        10         6         9         6         4         8         9         1        10         8        10         8         4         7         8
Vardas179             Pavarde179                      3         2         6         6        10        10         7         6         4        10         4         7         7         5         2         9
Vardas180             Pavarde180                      2        10         1         2         3        10         7         2         2         7         1         1         2         4        10         5
Vardas181             Pavarde181                      1         7         6         2         6         7         7         2         3         5         9         3         8         3         8         7
Vardas182             Pavarde182                      5         9        10         6        10         6         4         8         1        10        10         6         5         2         1         1
Vardas183             Pavarde183                      9         2         4         4         7         6         1         1         3         3         8         3         6        10         9         1
Vardas184             Pavarde184                      8         4         7         6         8         4         3         8         6         9         4         3         5         1         7         1
Vardas185             Pavarde185                      5         5         8         2        10         8        10         5         4         2         7         3         7         6         8         8
Vardas186             Pavarde186                      6         6         7         2         6        10         5         8         6         6         2        10         3         7         7         8
Vardas187             Pavarde187                      8        10         1         8         5         7         4         9         4         4         5         2         8         9         7         5
Vardas188             Pavarde188                      2         1         6         8         1         8         1         2         3         4         3         5         6         8        10        10
Vardas189             Pavarde189                      5        10         5         2         7         5         4         7         2         2        10         9         8         3         1         4
Vardas190             Pavarde190                      2        10         9         2         3         2         6         5         4        10         7        10         8         1         6         4
Vardas191             Pavarde191                      7         9        10         7         7         6         9         5         9         3         5         7         3         3         5         1
Vardas192             Pavarde192                      6         9         2         9         1        10         1         6         3         2         4         8         3         2         9         5
Vardas193             Pavarde193                      8        10         5         9         3         3         4        10         2        10         1         6         2         8         8         6
Vardas194             Pavarde194                      4         7         7         7         7         3         3         6         7        10         7         7         2        10         6         7
Vardas195             Pavarde195                      7         5         5         5         6         9         6         4         5         1         4         6         9         1         4        10
Vardas196             Pavarde196                      9         2         5         3         2         7         9         8         3         1         6        10         5        10         2         1
Vardas197             Pavarde197                     10         6         5         1         8         1         9         6         7         3         2         2         6         4         5         2
Vardas198             Pavarde198                      8         3         3         5         7         2         3        10         7         6         8         3         5         4         1         3
Vardas199             Pavarde199                      1        10         4         8         2         7         7         9         6         2        10         1         7         7         3         5
Vardas200             Pavarde200                      3         9         9         2         6        10         2         4         8         2         1         7         7         1         9         8
Vardas201             Pavarde201                      6         1         5         1         6         4         6         4         8         2         5         2         9         3         7         1
Vardas202             Pavarde202                      6         1         7         4         2         9         7         2         3         7         6         8         7         8        10         7
Vardas203             Pavarde203                      1         9         2         6         8         8         4         8        10         6         1         7        10         4         1         3
Vardas204             Pavarde204                      5         3         4         4         4         6         9         3         5         8         4         6         7        10         5         5
Vardas205             Pavarde205                      8         4         5         5         8         7         6         9         7         7         7         2         8         3         4         4
Vardas206             Pavarde206                      8         1         4         8        10        10         1         4         4        10         4         6         7         7         8         2
Vardas207             Pavarde207                     10         6         5         2         6         9         5         4         4         6         3         6         9         7         6         2
Vardas208             Pavarde208                      2         5         1         9         1         9         2         6         1         1         5         9         2         4         7         4
Vardas209             Pavarde209                      3         7         4         5         6         1         3         3        10         9         1         4         6         2         1         9
Vardas210             Pavarde210                      4         1         5         8         1         7         6         9         2         3         8         1         8         8         7         5
Vardas211             Pavarde211                      7         6        10         6         9         5         4         8         1         8         3         8         5         8         4         3
Vardas212             Pavarde212                      9         4         1         5         4         2         1         9        10         2         7         5         2         3         9         2
Vardas213             Pavarde213                      1         8         7        10         5         3         3         8         4         5         1         4         8        10         4         7
Vardas214             Pavarde214                      4         7         3         4         3         3         6         9         9         6         7         2        10         1         6         6
Vardas215             Pavarde215                      6         2         4         7         8         3         6         1         7        10         3         9         4         2        10         4
Vardas216             Pavarde216                      1         5         3         3         8         3         7         2         6         1         9         4         3         3        10         2
Vardas217             Pavarde217                      1         2         4         9         1         5         6         5        10         9         1         6        10         3        10         3
Vardas218             Pavarde218                      5         5         9         3        10         6         2         4         6         6         7         9         4         1         8         2
Vardas219             Pavarde219                      3         8         2         3         9         2         9         5         7         3         7         3         2        10         5         5
Vardas220             Pavarde220                      7         1         8         9         7         1         6        10         7         1         9         9         1         3         2        10
Vardas221             Pavarde221                      9         9         8         4         5         8        10         5         4        10         3         6         5         5         1         9
Vardas222             Pavarde222                      9         3         2         1         1         3         8         1         7         2         3         3         1         6         3         2
Vardas223             Pavarde223                      7         8         8         3         7        10         5         2         9         1         7         7         3         6         9         5
Vardas224             Pavarde224                      9         4         3         6         5        10         3         5         3         1         6         9         8         1         8         9
Vardas225             Pavarde225                      5         1         4        10         5         5         9         4         6         2         1         1         9         7         9        10
Vardas226             Pavarde226                      2         3         4         7         3         1         5         9         1         2         7         5         7         2         2         7
Vardas227             Pavarde227                      6         3         7         5        10         1         1         3         5         3         3         6         2         4        10         1
Vardas228             Pavarde228                      6         5         5        10         1         1         1         3         9         3        10         4         7         2         9         8
Vardas229             Pavarde229                      9         7         1         7         4         1         9        10         2         6         1         1         5         7         4         3
Vardas230             Pavarde230                      5         7         2         5         1         9         6        10         5         2         9        10         2         1         4         1
Vardas231             Pavarde231                      3         5         1         2         1        10         4         1         9         1         7         4        10         3         6        10
Vardas232             Pavarde232                      5         9         5         2         6         6         9         2        10         5        10         3         9         4         3         7
Vardas233             Pavarde233                      4         3         6         1         1         4         4         4         1         6         3         1        10         8         2         3
Vardas234             Pavarde234                      5         2         2         6         4         5         7        10         1         9         3         9         6         1         9         7
Vardas235             Pavarde235                      1         9         5         6         9         8         8         3         1         8         1         5         3         2         6         9
Vardas236             Pavarde236                      6        10         2         1         3         2         4         3         3         7         5         5         4         1         4         9
Vardas237             Pavarde237                      3         9         3         8        10         1         2        10         4         5         3         2         8         3         9         8
Vardas238             Pavarde238                      7         8         2         9         3         9        10         8         6         6         6        10         2         8         6         2
Vardas239             Pavarde239                      1        10         7         2         9         3         8         1        10         8         1         3        10         4         2         7
Vardas240             Pavarde240                      8         1         4         4         5        10         4         8         1         4         9         8        10        10         7         3
Vardas241             Pavarde241                      2         6         6         1         4         9         7         8         3         1        10         4         6         4        10        10
Vardas242             Pavarde242                      8         8         7         3         3         1        10         4         8         9         5        10         9         9         2         2
Vardas243             Pavarde243                     10         7         9         7         2        10         6         7        10        10         8         1         2         5         8        10
Vardas244             Pavarde244                      5         5         1         3         4         9         1         9         3         4         4         5        10         6         9         3
Vardas245             Pavarde245                      9         9         5         6         4         9        10         7         4         7        10         2         9         4         2         4
Vardas246             Pavarde246                      9         9         5         4         3         9         8         3         7         8         9         5         2         6         7         4
Vardas247             Pavarde247                      6         4         4         8         5         4         8         7         7         2         1         5         8         7         7         8
Vardas248             Pavarde248                     10         6         1         9         6         4         9         2         3         5         5         8         1        10         7         3
Vardas249             Pavarde249                      7         1         9         5         4        10        10         5         7         9         7         6         2         2         5         7
Vardas250             Pavarde250                     10         4         4         1         5         9         7         2         6         3         8         5         3         3         1        10
Vardas251             Pavarde251                      1         9         7         1         7         2         4         1         1         7         4         7         3         9         1         3
Vardas252             Pavarde252                      7         2        10         5         8         8         7         2         5         3         6         7        10         1        10         6
Vardas253             Pavarde253                      6         3         9         7         3         9         7         5         2         8         4         3         7         5         2         2
Vardas254             Pavarde254                     10         8         7         7         4         1         9         1         8         8         1         4         3         9         3         7
Vardas255             Pavarde255                      9        10         3         1         8         5         6         6        10         1         4        10        10         7         4         1
Vardas256             Pavarde256                      3         8         7         2         7         8         8         1         8        10         9         5         6         2         9         7
Vardas257             Pavarde257                     10         5         6         6         1         7         3         1         2         4         4         1         9         1         3         7
Vardas258             Pavarde258                      7         3         7        10         6         5         7         5         8         1         3         8         6         2         3         8
Vardas259             Pavarde259                      5         3         7         4         2         8         3         8         9         7         7        10         8         6        10         7
Vardas260             Pavarde260                     10         7         3        10         7         3         6         5         1         6        10         1        10         1         4         8
Vardas261             Pavarde261                      2         4        10         7         6         7         7         7         8         4         2        10         5         2         7        10
Vardas262             Pavarde262                      3         8         7         2         2        10         5         8         4         4         9         8         6         4         5        10
Vardas263             Pavarde263                      8         3         7        10         5        10         5         5         2         2         3         9         1         4         3         1
Vardas264             Pavarde264                      6         2        10         5         4         3         7         6         4         3         7         2         1         3         4         4
Vardas265             Pavarde265                      6         1         2        10         8         8         9         8         7         4         8        10         4         4        10         5
Vardas266             Pavarde266                      7        10         1         6        10         2         6         7         5         4         8         5         7         8         8         5
Vardas267             Pavarde267                      9        10         5         9         3         8         1         4        10         6         3         8         1         1        10        10
Vardas268             Pavarde268                      4         9         8         6         5         5         1         1         4         5         1         5         3         2         1         5
Vardas269             Pavarde269                     10        10         7         4         1         2         2         1         2         8         9         5         6         1         3         1
Vardas270             Pavarde270                      3         5         2         4         2         7         9         7         9         3        10         5         4         1         7        10
Vardas271             Pavarde271                      8         1         6         9         5         2         2         8         8         5         1         9         7        10         7        10
Vardas272             Pavarde272                      4         6         2         9         5         4        10        10         5         7         5         9         2        10         7         9
Vardas273             Pavarde273                      8         7         7         4         6         7         6         2         3         6         2         7         3         7        10         2
Vardas274             Pavarde274                      4         8         4         8         3         9         1         1         2         4         1         7         4        10         6         5
Vardas275             Pavarde275                      1         2         7        10         4         9         7         8        10         9         8         4         2         9         3         7
Vardas276             Pavarde276                      5         4         6         5        10         3         4         9         3         2         6         2         3         6         4         7
Vardas277             Pavarde277                      9         6         5         4         5         8         2         8         9        10         6        10         3         6         5         7
Vardas278             Pavarde278                      7         4         4         3         6         1         1         4         6         7         8         7         5         2         8         2
Vardas279             Pavarde279                      9         4         3         1         5        10         3         3         5        10         6         6         8         9         6        10
Vardas280             Pavarde280                      5         5         4         1         8         5        10        10         2         1         9         3         2         8         6         2
Vardas281             Pavarde281                      5         6         2         4         3         9         1         9         8         4        10         5         1         2         5         9
Vardas282             Pavarde282                      3         2         9         6         1         5         6         2         5         4         8         9         5         4         9         7
Vardas283             Pavarde283                      6         9         4         4        10         6         6         2         9         3         7         6         8        10         2        10
Vardas284             Pavarde284                      6         9         9         4         8         1        10         6         4         9         8         9         3         8         4         2
Vardas285             Pavarde285                      3         2        10         8        10        10         2         9         5         7         7         7         2         5         5         8
Vardas286             Pavarde286                      7         9         3         5         6         6         1        10         7         3         6         6         5         4         6         2
Vardas287             Pavarde287                      6         5         7        10         5        10         3         9         4         7         7        10        10         9         6         3
Vardas288             Pavarde288                      5         5         5         6         1         8         7         3         4         9         2         8         2         5         6         7
Vardas289             Pavarde289                      9         8         1         4        10         1         6         1        10         5         3         6         4         6         4         9
Vardas290             Pavarde290                      3         1         2         7        10        10         4         2         8         4         4         5         8        10         7         3
Vardas291             Pavarde291                      7         7         3        10         7         2         3         3         8         7         3         2        10         1         6         2
Vardas292             Pavarde292                      4         6         2         7        10         2         2         9         3        10         7         4         9        10         3         2
Vardas293             Pavarde293                      1         9         7         5         3         2         6         3         9         5        10         9         9         2         8         7
Vardas294             Pavarde294                      4         4         1         8         6         4         8         8         9         1         5         1        10         5         9         9
Vardas295             Pavarde295                      7         6         3        10         1         7         3         2         6         7         6        10         6         9         5         1
Vardas296             Pavarde296                      3         4         8         5         7         3         6         3         3         3         4         8         1         1         6         5
Vardas297             Pavarde297                      6         2         9         5         7         7         1         4         6         4         4         6         7         6         8         4
Vardas298             Pavarde298                      8         7         2         7         3         9        10         9        10         7         3         1         8         8        10         3
Vardas299             Pavarde299                      1         7         6         9         6         9         9         1         3         4         1         3         8         1         5         8
Vardas300             Pavarde300                      7         8         8         2         4        10         4         9        10         8         1         5         1        10         1         4
